33824,2018-09-06,2018-09-17
33736,2018-08-26,2018-08-26
33724,2018-08-22,2018-08-22
33723,2018-08-22,2018-08-22
33700,2018-08-20,2018-08-20
33639,2018-08-07,2018-08-09
33633,2018-08-06,2018-08-09
33613,2018-08-01,2018-08-09
33596,2018-07-30,2018-07-30
33559,2018-07-24,2018-08-07
33554,2018-07-24,2018-08-06
33534,2018-07-20,2018-07-24
33478,2018-07-12,2018-07-12
33475,2018-07-12,2018-07-12
33474,2018-07-12,2018-07-12
33452,2018-07-10,2018-07-23
33431,2018-07-05,2018-07-25
33373,2018-06-26,2018-06-26
33279,2018-06-12,2018-09-16
33254,2018-06-07,2018-07-25
33242,2018-06-07,2018-06-07
33240,2018-06-07,2018-06-07
33229,2018-06-06,2018-06-11
33206,2018-06-04,2018-06-11
33190,2018-05-31,2018-05-31
33122,2018-05-21,2018-05-22
33103,2018-05-17,2018-05-24
33032,2018-05-10,2018-05-10
33007,2018-05-04,2018-05-04
33000,2018-05-03,2018-05-03
32947,2018-04-26,2018-05-25
32905,2018-04-20,2018-05-03
32858,2018-04-19,2018-05-27
32856,2018-04-19,2018-05-23
32855,2018-04-19,2018-04-19
32843,2018-04-18,2018-05-11
32788,2018-04-10,2018-04-13
32754,2018-04-05,2018-04-05
32734,2018-04-03,2018-05-23
32729,2018-04-03,2018-05-10
32700,2018-03-30,2018-04-03
32686,2018-03-29,2018-03-29
32675,2018-03-28,2018-03-28
32629,2018-03-23,2018-03-23
32612,2018-03-22,2018-08-16
32592,2018-03-20,2018-05-10
32584,2018-03-20,2018-06-18
32561,2018-03-16,2018-04-09
32560,2018-03-16,2018-03-16
32550,2018-03-15,2018-03-15
32509,2018-03-12,2018-03-26
32496,2018-03-10,2018-03-16
32476,2018-03-07,2018-03-06
32297,2018-02-15,2018-02-15
32189,2018-02-01,2018-07-30
32187,2018-02-01,2018-06-18
32116,2018-01-24,2018-03-21
32114,2018-01-24,2018-05-27
32059,2018-01-18,2018-05-15
31984,2018-01-09,2018-01-09
31944,2018-01-08,2018-07-25
31936,2018-01-05,2018-01-08
31915,2018-01-04,2018-03-12
31812,2017-12-22,2018-01-05
31801,2017-12-21,2018-06-27
31790,2017-12-20,2018-04-13
31762,2017-12-21,2018-05-14
31676,2017-12-04,2017-12-08
31587,2017-11-21,2017-11-27
31538,2017-11-17,2018-03-14
31497,2017-11-13,2018-05-28
31460,2017-11-08,2017-11-08
31455,2017-12-01,2017-12-01
31338,2017-11-03,2017-11-08
31283,2017-10-29,2018-05-14
32509,2018-03-12,2018-03-26
32496,2018-03-10,2018-03-16
32476,2018-03-07,2018-03-06
32297,2018-02-15,2018-02-15
32189,2018-02-01,2018-07-30
32187,2018-02-01,2018-06-18
32116,2018-01-24,2018-03-21
32114,2018-01-24,2018-05-27
32059,2018-01-18,2018-05-15
31984,2018-01-09,2018-01-09
31944,2018-01-08,2018-07-25
31936,2018-01-05,2018-01-08
31915,2018-01-04,2018-03-12
31812,2017-12-22,2018-01-05
31801,2017-12-21,2018-06-27
31790,2017-12-20,2018-04-13
31762,2017-12-21,2018-05-14
31676,2017-12-04,2017-12-08
31587,2017-11-21,2017-11-27
31538,2017-11-17,2018-03-14
31497,2017-11-13,2018-05-28
31460,2017-11-08,2017-11-08
31455,2017-12-01,2017-12-01
31338,2017-11-03,2017-11-08
31283,2017-10-29,2018-05-14
32509,2018-03-12,2018-03-26
32496,2018-03-10,2018-03-16
32476,2018-03-07,2018-03-06
32297,2018-02-15,2018-02-15
32189,2018-02-01,2018-07-30
32187,2018-02-01,2018-06-18
32116,2018-01-24,2018-03-21
32114,2018-01-24,2018-05-27
32059,2018-01-18,2018-05-15
31984,2018-01-09,2018-01-09
31944,2018-01-08,2018-07-25
31936,2018-01-05,2018-01-08
31915,2018-01-04,2018-03-12
31812,2017-12-22,2018-01-05
31801,2017-12-21,2018-06-27
31790,2017-12-20,2018-04-13
31762,2017-12-21,2018-05-14
31676,2017-12-04,2017-12-08
31587,2017-11-21,2017-11-27
31538,2017-11-17,2018-03-14
31497,2017-11-13,2018-05-28
31460,2017-11-08,2017-11-08
31455,2017-12-01,2017-12-01
31338,2017-11-03,2017-11-08
31283,2017-10-29,2018-05-14
32509,2018-03-12,2018-03-26
32496,2018-03-10,2018-03-16
32476,2018-03-07,2018-03-06
32297,2018-02-15,2018-02-15
32189,2018-02-01,2018-07-30
32187,2018-02-01,2018-06-18
32116,2018-01-24,2018-03-21
32114,2018-01-24,2018-05-27
32059,2018-01-18,2018-05-15
31984,2018-01-09,2018-01-09
31944,2018-01-08,2018-07-25
31936,2018-01-05,2018-01-08
31915,2018-01-04,2018-03-12
31812,2017-12-22,2018-01-05
31801,2017-12-21,2018-06-27
31790,2017-12-20,2018-04-13
31762,2017-12-21,2018-05-14
31676,2017-12-04,2017-12-08
31587,2017-11-21,2017-11-27
31538,2017-11-17,2018-03-14
31497,2017-11-13,2018-05-28
31460,2017-11-08,2017-11-08
31455,2017-12-01,2017-12-01
31338,2017-11-03,2017-11-08
31283,2017-10-29,2018-05-14
27335,2016-01-11,2016-02-03
27306,2016-01-05,2018-03-22
27293,2016-01-04,2016-06-17
27198,2015-12-29,2017-11-07
27183,2015-12-28,2018-08-10
26886,2015-11-10,2015-11-18
26730,2015-10-15,2017-10-12
26442,2016-09-08,2016-09-08
26235,2016-07-29,2017-01-30
25992,2017-07-23,2017-07-23
25798,2016-01-12,2016-06-28
25638,2016-10-26,2016-10-26
25625,2016-08-29,2016-08-29
25597,2016-01-12,2016-07-25
25421,2017-01-30,2017-07-21
25416,2017-01-30,2018-08-10
25367,2018-03-24,2018-03-24
25096,2018-05-23,2018-05-24
20970,2017-01-30,2017-08-03
20575,2017-09-11,2017-09-11
19108,2016-09-01,2016-09-01
18590,2016-07-08,2018-08-11
18066,2017-01-30,2018-08-11
17962,2017-01-30,2017-09-29
16206,2017-01-30,2018-08-11
15854,2017-01-30,2018-08-11
15705,2017-01-30,2018-08-11
12576,2017-01-30,2018-08-11
11944,2016-05-09,2018-08-11
