33692,2018-08-15,2018-08-15
33551,2018-07-24,2018-08-02
33491,2018-07-13,2018-07-23
33371,2018-06-26,2018-06-26
33323,2018-06-18,2018-07-30
33307,2018-06-14,2018-06-27
33305,2018-06-14,2018-06-14
33004,2018-05-04,2018-08-08
32568,2018-03-19,2018-03-22
31817,2017-12-27,2018-06-18
31777,2017-12-18,2018-03-22
31446,2017-11-07,2017-11-09
31445,2017-12-04,2017-11-10
31441,2017-11-07,2017-11-10
31218,2017-11-15,2018-03-15
31183,2017-11-10,2018-05-15
31181,2017-11-08,2017-11-08
31044,2017-09-29,2017-10-04
30965,2017-09-15,2017-09-26
30956,2017-09-14,2017-09-21
30955,2017-09-14,2017-09-22
30954,2017-09-14,2017-09-25
30854,2017-08-29,2017-08-29
30743,2017-08-15,2018-06-18
30233,2017-06-02,2017-06-02
30165,2017-05-23,2018-06-10
30032,2017-05-07,2017-05-09
29993,2017-05-01,2017-09-08
29880,2017-08-23,2017-09-18
29683,2017-03-09,2018-03-15
29603,2017-02-27,2017-08-15
29570,2017-02-21,2017-11-07
29569,2017-02-21,2017-11-07
29565,2017-02-21,2018-03-22
29561,2017-02-21,2017-03-28
29560,2017-02-21,2017-03-20
29559,2017-02-27,2017-02-27
29557,2017-02-27,2017-02-27
29556,2017-02-27,2017-02-27
29526,2017-02-22,2017-09-22
29457,2017-02-23,2017-02-23
29313,2017-03-31,2017-03-31
29001,2017-05-09,2018-08-12
29000,2016-12-02,2018-06-18
28763,2016-10-20,2016-10-28
28713,2017-02-27,2017-02-27
28675,2016-10-07,2016-10-24
28594,2016-09-23,2016-09-28
28480,2016-09-02,2017-09-18
28472,2016-08-31,2016-09-13
28468,2016-08-31,2016-09-13
28349,2016-08-07,2016-10-19
28345,2016-08-05,2016-08-10
28335,2016-08-03,2016-08-03
28225,2017-02-27,2018-08-11
28134,2016-06-23,2016-06-23
27951,2016-05-23,2018-08-11
27874,2016-05-05,2016-05-18
27731,2016-03-30,2018-08-11
27709,2016-03-22,2016-03-23
27641,2016-03-04,2018-08-14
27628,2016-03-02,2016-03-02
27626,2016-03-14,2017-06-08
27164,2016-02-02,2017-05-09
27110,2015-12-16,2016-02-04
27109,2016-02-04,2016-02-05
27031,2016-01-15,2017-12-18
27030,2016-01-15,2017-07-18
26755,2015-10-20,2018-08-11
26754,2015-10-20,2018-08-11
26663,2015-10-05,2018-08-11
26600,2015-09-28,2018-08-14
26385,2016-09-05,2016-09-06
25716,2018-08-19,2018-08-19
25499,2018-06-15,2018-06-15
24725,2016-07-07,2017-09-25
24491,2015-10-15,2015-10-15
24490,2015-10-15,2015-10-15
24001,2016-07-11,2016-07-11
23859,2017-03-09,2017-03-09
23356,2017-08-04,2018-07-30
21167,2017-01-30,2018-09-01
20907,2018-08-11,2018-08-11
20325,2017-01-30,2018-06-14
20264,2017-01-30,2018-06-18
20095,2015-10-27,2018-06-18
18878,2017-01-30,2018-06-15
18863,2017-04-17,2018-06-27
18266,2017-01-30,2018-07-09
16327,2017-01-30,2018-07-20
16220,2017-01-30,2018-08-11
16187,2017-01-30,2018-08-15
15709,2017-01-30,2018-07-09
14603,2018-08-11,2018-08-19
14602,2018-07-09,2018-07-09
14480,2017-01-30,2018-07-09
13759,2017-08-08,2018-08-10
12583,2016-02-04,2016-02-04
12098,2017-01-30,2018-07-27
11967,2018-05-22,2018-05-22
11930,2017-01-30,2018-06-18
11770,2017-01-30,2018-06-18
11131,2017-01-30,2018-09-19
7247,2018-08-11,2018-08-11
6411,2017-01-30,2018-08-11
5798,2017-01-30,2018-08-14
5453,2017-01-30,2018-08-11
4860,2017-01-30,2018-08-11
4854,2017-01-30,2018-06-18
3485,2017-01-30,2018-08-11
